file_name,class,extension,readable,width,height,fps,frame_count,duration
NV_1.mp4,NonViolence,.mp4,True,1920,1080,24.9,66,2.65
NV_10.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_100.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_1000.mp4,NonViolence,.mp4,True,1280,720,23.98,104,4.34
NV_101.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_102.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_103.mp4,NonViolence,.mp4,True,224,224,25.0,125,5.0
NV_104.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_105.mp4,NonViolence,.mp4,True,224,224,25.0,125,5.0
NV_106.mp4,NonViolence,.mp4,True,224,224,25.0,125,5.0
NV_107.mp4,NonViolence,.mp4,True,224,224,25.0,125,5.0
NV_108.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_109.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_11.mp4,NonViolence,.mp4,True,1280,720,25.0,138,5.52
NV_110.mp4,NonViolence,.mp4,True,224,224,25.0,125,5.0
NV_111.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_112.mp4,NonViolence,.mp4,True,224,224,25.0,125,5.0
NV_113.mp4,NonViolence,.mp4,True,224,224,25.0,125,5.0
NV_114.mp4,NonViolence,.mp4,True,224,224,25.0,125,5.0
NV_115.mp4,NonViolence,.mp4,True,224,224,25.0,125,5.0
NV_116.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_117.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_118.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_119.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_12.mp4,NonViolence,.mp4,True,1280,720,25.0,138,5.52
NV_120.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_121.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_122.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_123.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_124.mp4,NonViolence,.mp4,True,224,224,25.0,125,5.0
NV_125.mp4,NonViolence,.mp4,True,224,224,25.0,125,5.0
NV_126.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_127.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_128.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_129.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_13.mp4,NonViolence,.mp4,True,1280,720,25.0,155,6.2
NV_130.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_131.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_132.mp4,NonViolence,.mp4,True,224,224,25.0,125,5.0
NV_133.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_134.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_135.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_136.mp4,NonViolence,.mp4,True,224,224,25.0,125,5.0
NV_137.mp4,NonViolence,.mp4,True,640,360,25.0,108,4.32
NV_138.mp4,NonViolence,.mp4,True,640,360,25.0,98,3.92
NV_139.mp4,NonViolence,.mp4,True,640,360,25.0,113,4.52
NV_14.mp4,NonViolence,.mp4,True,1280,720,25.0,110,4.4
NV_140.mp4,NonViolence,.mp4,True,640,360,25.0,115,4.6
NV_141.mp4,NonViolence,.mp4,True,640,360,25.0,105,4.2
NV_142.mp4,NonViolence,.mp4,True,640,360,25.0,95,3.8
NV_143.mp4,NonViolence,.mp4,True,224,224,30.0,150,5.0
NV_144.mp4,NonViolence,.mp4,True,640,360,25.0,113,4.52
NV_145.mp4,NonViolence,.mp4,True,640,360,25.0,125,5.0
NV_146.mp4,NonViolence,.mp4,True,224,224,25.0,125,5.0
NV_147.mp4,NonViolence,.mp4,True,224,224,25.0,125,5.0
NV_148.mp4,NonViolence,.mp4,True,224,224,25.0,125,5.0
NV_149.mp4,NonViolence,.mp4,True,224,224,25.0,125,5.0
